"Kvadratmeter (m2) pr. indbygger";"Parker, sportsanlæg og andre rekreative områder";"Assens";69.3
"Kvadratmeter (m2) pr. indbygger";"Parker, sportsanlæg og andre rekreative områder";"Faaborg-Midtfyn";76.7
"Kvadratmeter (m2) pr. indbygger";"Parker, sportsanlæg og andre rekreative områder";"Kerteminde";99.0
"Kvadratmeter (m2) pr. indbygger";"Parker, sportsanlæg og andre rekreative områder";"Langeland";119.8
"Kvadratmeter (m2) pr. indbygger";"Parker, sportsanlæg og andre rekreative områder";"Middelfart";69.0
"Kvadratmeter (m2) pr. indbygger";"Parker, sportsanlæg og andre rekreative områder";"Nordfyns";98.1
"Kvadratmeter (m2) pr. indbygger";"Parker, sportsanlæg og andre rekreative områder";"Nyborg";66.1
"Kvadratmeter (m2) pr. indbygger";"Parker, sportsanlæg og andre rekreative områder";"Odense";52.9
"Kvadratmeter (m2) pr. indbygger";"Parker, sportsanlæg og andre rekreative områder";"Svendborg";60.5
"Kvadratmeter (m2) pr. indbygger";"Parker, sportsanlæg og andre rekreative områder";"Ærø";167.7
"Kvadratmeter (m2) pr. indbygger";"Parker, sportsanlæg og andre rekreative områder";"Billund";118.3
"Kvadratmeter (m2) pr. indbygger";"Parker, sportsanlæg og andre rekreative områder";"Esbjerg";66.5
"Kvadratmeter (m2) pr. indbygger";"Parker, sportsanlæg og andre rekreative områder";"Fanø";105.8
"Kvadratmeter (m2) pr. indbygger";"Parker, sportsanlæg og andre rekreative områder";"Fredericia";62.2
"Kvadratmeter (m2) pr. indbygger";"Parker, sportsanlæg og andre rekreative områder";"Haderslev";69.2
"Kvadratmeter (m2) pr. indbygger";"Parker, sportsanlæg og andre rekreative områder";"Kolding";63.9
"Kvadratmeter (m2) pr. indbygger";"Parker, sportsanlæg og andre rekreative områder";"Sønderborg";79.2
"Kvadratmeter (m2) pr. indbygger";"Parker, sportsanlæg og andre rekreative områder";"Tønder";124.3
"Kvadratmeter (m2) pr. indbygger";"Parker, sportsanlæg og andre rekreative områder";"Varde";128.7
"Kvadratmeter (m2) pr. indbygger";"Parker, sportsanlæg og andre rekreative områder";"Vejen";103.9
"Kvadratmeter (m2) pr. indbygger";"Parker, sportsanlæg og andre rekreative områder";"Vejle";68.3
"Kvadratmeter (m2) pr. indbygger";"Parker, sportsanlæg og andre rekreative områder";"Aabenraa";78.0
"Kvadratmeter (m2) pr. indbygger";"Parker, sportsanlæg og andre rekreative områder";"Region Midtjylland";68.0
"Kvadratmeter (m2) pr. indbygger";"Parker, sportsanlæg og andre rekreative områder";"Favrskov";66.5
"Kvadratmeter (m2) pr. indbygger";"Parker, sportsanlæg og andre rekreative områder";"Hedensted";84.0
"Kvadratmeter (m2) pr. indbygger";"Parker, sportsanlæg og andre rekreative områder";"Horsens";65.6
"Kvadratmeter (m2) pr. indbygger";"Parker, sportsanlæg og andre rekreative områder";"Norddjurs";95.4
"Kvadratmeter (m2) pr. indbygger";"Parker, sportsanlæg og andre rekreative områder";"Odder";73.5
"Kvadratmeter (m2) pr. indbygger";"Parker, sportsanlæg og andre rekreative områder";"Randers";56.7
"Kvadratmeter (m2) pr. indbygger";"Parker, sportsanlæg og andre rekreative områder";"Samsø";255.1
"Kvadratmeter (m2) pr. indbygger";"Parker, sportsanlæg og andre rekreative områder";"Silkeborg";65.1
"Kvadratmeter (m2) pr. indbygger";"Parker, sportsanlæg og andre rekreative områder";"Skanderborg";72.8
"Kvadratmeter (m2) pr. indbygger";"Parker, sportsanlæg og andre rekreative områder";"Syddjurs";108.5
"Kvadratmeter (m2) pr. indbygger";"Parker, sportsanlæg og andre rekreative områder";"Aarhus";40.7
"Kvadratmeter (m2) pr. indbygger";"Parker, sportsanlæg og andre rekreative områder";"Herning";77.0
"Kvadratmeter (m2) pr. indbygger";"Parker, sportsanlæg og andre rekreative områder";"Holstebro";79.8
"Kvadratmeter (m2) pr. indbygger";"Parker, sportsanlæg og andre rekreative områder";"Ikast-Brande";104.2
"Kvadratmeter (m2) pr. indbygger";"Parker, sportsanlæg og andre rekreative områder";"Lemvig";91.4
"Kvadratmeter (m2) pr. indbygger";"Parker, sportsanlæg og andre rekreative områder";"Ringkøbing-Skjern";92.7
"Kvadratmeter (m2) pr. indbygger";"Parker, sportsanlæg og andre rekreative områder";"Skive";78.5
"Kvadratmeter (m2) pr. indbygger";"Parker, sportsanlæg og andre rekreative områder";"Struer";77.8
"Kvadratmeter (m2) pr. indbygger";"Parker, sportsanlæg og andre rekreative områder";"Viborg";74.8
"Kvadratmeter (m2) pr. indbygger";"Parker, sportsanlæg og andre rekreative områder";"Region Nordjylland";84.5
"Kvadratmeter (m2) pr. indbygger";"Parker, sportsanlæg og andre rekreative områder";"Brønderslev";86.5
"Kvadratmeter (m2) pr. indbygger";"Parker, sportsanlæg og andre rekreative områder";"Frederikshavn";83.6
"Kvadratmeter (m2) pr. indbygger";"Parker, sportsanlæg og andre rekreative områder";"Hjørring";92.1
"Kvadratmeter (m2) pr. indbygger";"Parker, sportsanlæg og andre rekreative områder";"Jammerbugt";133.6
"Kvadratmeter (m2) pr. indbygger";"Parker, sportsanlæg og andre rekreative områder";"Læsø";220.8
"Kvadratmeter (m2) pr. indbygger";"Parker, sportsanlæg og andre rekreative områder";"Mariagerfjord";71.1
"Kvadratmeter (m2) pr. indbygger";"Parker, sportsanlæg og andre rekreative områder";"Morsø";102.1
"Kvadratmeter (m2) pr. indbygger";"Parker, sportsanlæg og andre rekreative områder";"Rebild";84.6
"Kvadratmeter (m2) pr. indbygger";"Parker, sportsanlæg og andre rekreative områder";"Thisted";82.9
"Kvadratmeter (m2) pr. indbygger";"Parker, sportsanlæg og andre rekreative områder";"Vesthimmerlands";162.7
"Kvadratmeter (m2) pr. indbygger";"Parker, sportsanlæg og andre rekreative områder";"Aalborg";59.5
"Kvadratmeter (m2) pr. indbygger";"Landbrugsafgrøder";"Hele landet";4492.7
"Kvadratmeter (m2) pr. indbygger";"Landbrugsafgrøder";"Region Hovedstaden";542.9
"Kvadratmeter (m2) pr. indbygger";"Landbrugsafgrøder";"København";0.7
"Kvadratmeter (m2) pr. indbygger";"Landbrugsafgrøder";"Frederiksberg";0.0
"Kvadratmeter (m2) pr. indbygger";"Landbrugsafgrøder";"Dragør";330.0
"Kvadratmeter (m2) pr. indbygger";"Landbrugsafgrøder";"Tårnby";85.0
"Kvadratmeter (m2) pr. indbygger";"Landbrugsafgrøder";"Albertslund";43.0
"Kvadratmeter (m2) pr. indbygger";"Landbrugsafgrøder";"Ballerup";88.8
"Kvadratmeter (m2) pr. indbygger";"Landbrugsafgrøder";"Brøndby";13.6
"Kvadratmeter (m2) pr. indbygger";"Landbrugsafgrøder";"Gentofte";1.3
